distance	Beta	var
190.97	0.699422	Brw
301.03	0.7130435	Brw
341.69	0.7696335	Brw
347.47	0.7469586	Brw
342.96	0.8748466	Brw
319.37	0.8214286	Brw
313.28	0.7777778	Brw
294.53	0.6436364	Brw
289.36	0.752381	Brw
291.41	0.7732997	Brw
180.41	0.6943522	Brw
179.44	0.8337596	Brw
261.42	0.9152276	Brw
291.33	0.7275362	Brw
334.27	0.7905544	Brw
338.55	0.7172237	Brw
352.22	0.7015873	Brw
352.21	0.6902357	Brw
106.1	0.6464088	Brw
499.78	0.4084507	Brw
502.6	0.7127072	Brw
501.07	0.8590078	Brw
300.54	0.8412698	Brw
297.21	0.7522124	Brw
432.87	0.6814159	Brw
430.24	0.6842105	Brw
429.17	0.7643678	Brw
249.02	0.6666667	Brw
247.96	0.8553888	Brw
338.16	0.9118367	Brw
337.91	0.6486486	Brw
384.4	0.7671233	Brw
389.27	0.6764706	Brw
0.82	0.6240602	Brw
451.96	0.5228758	Brw
148.13	0.7303371	Brw
152.06	0.4620123	Brw
149.59	0.714927	Brw
506.4	0.6647399	Brw
499.93	0.8151261	Brw
365.82	0.4985755	Brw
356.81	0.5345269	Brw
364.74	0.7309091	Brw
159.47	0.33687	Brw
159.65	0.6620047	Brw
163.32	0.7733333	Brw
163.12	0.4631829	Brw
239.67	0.5772647	Brw
242.21	0.4365591	Brw
596.85	0.4373402	Brw
598.57	0.7831325	Brw
598.45	0.8831522	Brw
341.19	0.8696462	Brw
340.12	0.6626506	Brw
528.21	0.6530612	Brw
526.31	0.6864407	Brw
524.48	0.7987421	Brw
328.73	0.7117117	Brw
327.68	0.8805121	Brw
411.5	0.9313808	Brw
411.24	0.6766917	Brw
443.08	0.8039216	Brw
447.66	0.7096774	Brw
14.15	0.6610169	Brw
1.91	0.5502092	Brw
637.87	0.5085865	Brw
631.25	0.8679868	Brw
439.81	0.5048077	Brw
430.8	0.6096491	Brw
440.1	0.605948	Brw
285.78	0.4570136	Brw
286.36	0.5341278	Brw
245.37	0.6890459	Brw
245.35	0.4691358	Brw
296.99	0.5318471	Brw
296.84	0.4	Brw
15.25	0.4078947	Brw
647.06	0.3419466	Brw
640.45	0.9434229	Brw
452.78	0.7414634	Brw
443.3	0.6860465	Brw
452.95	0.5647558	Brw
284.22	0.7092199	Brw
285.22	0.383572	Brw
239.49	0.3106102	Brw
239.45	0.6224719	Brw
288.54	0.4593023	Brw
288.65	0.6295503	Brw
638.65	0.6976744	Brw
631.9	0.9055118	Brw
439.71	0.6940419	Brw
430.21	0.6157337	Brw
440.05	0.4697174	Brw
287.74	0.6445131	Brw
288.42	0.3617021	Brw
247.41	0.4901235	Brw
247.36	0.5890014	Brw
298.47	0.3805522	Brw
298.55	0.5891156	Brw
6.82	0.6611195	Brw
317.04	0.7844311	Brw
321.36	0.826087	Brw
313.31	0.8615917	Brw
488.02	0.7927461	Brw
487.15	0.9347181	Brw
575.9	0.9656947	Brw
575.63	0.8227848	Brw
642.37	0.8997361	Brw
647.09	0.8291815	Brw
311.14	0.8164251	Brw
315.73	0.55625	Brw
307.77	0.6766169	Brw
482.68	0.4509804	Brw
481.64	0.6925032	Brw
570.31	0.8045348	Brw
569.99	0.4514286	Brw
636.95	0.5609756	Brw
641.69	0.4162437	Brw
9.45	0.40625	Brw
3.99	0.4208145	Brw
452.48	0.4277457	Brw
451.88	0.6251511	Brw
509.12	0.787718	Brw
508.84	0.3897436	Brw
589.22	0.4774436	Brw
592.79	0.5714286	Brw
10.82	0.5222222	Brw
445.07	0.4906542	Brw
444.78	0.5313531	Brw
500.88	0.6930764	Brw
500.6	0.4915254	Brw
580.85	0.3517915	Brw
584.24	0.6007752	Brw
1.11	0.6289593	Brw
91.03	0.3650616	Brw
90.67	0.6032672	Brw
154.98	0.4394394	Brw
159.55	0.5893452	Brw
92.13	0.6759371	Brw
91.84	0.7079318	Brw
156.01	0.5975855	Brw
160.7	0.7257717	Brw
0.32	0.7846854	Brw
80.2	0.3843416	Brw
83.57	0.3362069	Brw
80.37	0.374359	Brw
84.13	0.4158416	Brw
4.85	0.5225564	Brw
